step 00712/01680 (42.38%) | loss: 3.193167 | lrm: 0.89 | dt: 2134.88ms | tok/sec: 245,581 | bf16_mfu: 59.80 | epoch: 1 pq: 7 rg: 76 | total time: 24.96m | eta: 34.4m
step 00713/01680 (42.44%) | loss: 3.188924 | lrm: 0.89 | dt: 2130.68ms | tok/sec: 246,066 | bf16_mfu: 59.92 | epoch: 1 pq: 7 rg: 77 | total time: 24.99m | eta: 34.4m
step 00714/01680 (42.50%) | loss: 3.180852 | lrm: 0.89 | dt: 2137.60ms | tok/sec: 245,269 | bf16_mfu: 59.72 | epoch: 1 pq: 7 rg: 78 | total time: 25.03m | eta: 34.3m
step 00715/01680 (42.56%) | loss: 3.181734 | lrm: 0.89 | dt: 2136.46ms | tok/sec: 245,400 | bf16_mfu: 59.75 | epoch: 1 pq: 7 rg: 79 | total time: 25.07m | eta: 34.3m
step 00716/01680 (42.62%) | loss: 3.182094 | lrm: 0.89 | dt: 2135.26ms | tok/sec: 245,538 | bf16_mfu: 59.79 | epoch: 1 pq: 7 rg: 80 | total time: 25.10m | eta: 34.3m
step 00717/01680 (42.68%) | loss: 3.180807 | lrm: 0.89 | dt: 2134.06ms | tok/sec: 245,676 | bf16_mfu: 59.82 | epoch: 1 pq: 7 rg: 81 | total time: 25.14m | eta: 34.2m
step 00718/01680 (42.74%) | loss: 3.180562 | lrm: 0.89 | dt: 2133.51ms | tok/sec: 245,740 | bf16_mfu: 59.84 | epoch: 1 pq: 8 rg: 0 | total time: 25.17m | eta: 34.2m
step 00719/01680 (42.80%) | loss: 3.181051 | lrm: 0.89 | dt: 2133.40ms | tok/sec: 245,752 | bf16_mfu: 59.84 | epoch: 1 pq: 8 rg: 1 | total time: 25.21m | eta: 34.2m
step 00720/01680 (42.86%) | loss: 3.170260 | lrm: 0.89 | dt: 2137.65ms | tok/sec: 245,263 | bf16_mfu: 59.72 | epoch: 1 pq: 8 rg: 2 | total time: 25.24m | eta: 34.1m
step 00721/01680 (42.92%) | loss: 3.163914 | lrm: 0.88 | dt: 2137.34ms | tok/sec: 245,299 | bf16_mfu: 59.73 | epoch: 1 pq: 8 rg: 3 | total time: 25.28m | eta: 34.1m
step 00722/01680 (42.98%) | loss: 3.169029 | lrm: 0.88 | dt: 2136.12ms | tok/sec: 245,439 | bf16_mfu: 59.76 | epoch: 1 pq: 8 rg: 4 | total time: 25.31m | eta: 34.1m
step 00723/01680 (43.04%) | loss: 3.166387 | lrm: 0.88 | dt: 2133.75ms | tok/sec: 245,712 | bf16_mfu: 59.83 | epoch: 1 pq: 8 rg: 5 | total time: 25.35m | eta: 34.0m
step 00724/01680 (43.10%) | loss: 3.170264 | lrm: 0.88 | dt: 2138.24ms | tok/sec: 245,195 | bf16_mfu: 59.70 | epoch: 1 pq: 8 rg: 5 | total time: 25.39m | eta: 34.0m
step 00725/01680 (43.15%) | loss: 3.164120 | lrm: 0.88 | dt: 2139.46ms | tok/sec: 245,055 | bf16_mfu: 59.67 | epoch: 1 pq: 8 rg: 6 | total time: 25.42m | eta: 34.0m
step 00726/01680 (43.21%) | loss: 3.170997 | lrm: 0.88 | dt: 2141.55ms | tok/sec: 244,817 | bf16_mfu: 59.61 | epoch: 1 pq: 8 rg: 7 | total time: 25.46m | eta: 33.9m
step 00727/01680 (43.27%) | loss: 3.164302 | lrm: 0.88 | dt: 2138.17ms | tok/sec: 245,204 | bf16_mfu: 59.71 | epoch: 1 pq: 8 rg: 8 | total time: 25.49m | eta: 33.9m
step 00728/01680 (43.33%) | loss: 3.160907 | lrm: 0.88 | dt: 2138.68ms | tok/sec: 245,145 | bf16_mfu: 59.69 | epoch: 1 pq: 8 rg: 9 | total time: 25.53m | eta: 33.8m
step 00729/01680 (43.39%) | loss: 3.158097 | lrm: 0.88 | dt: 2135.67ms | tok/sec: 245,491 | bf16_mfu: 59.78 | epoch: 1 pq: 8 rg: 10 | total time: 25.56m | eta: 33.8m
step 00730/01680 (43.45%) | loss: 3.160732 | lrm: 0.88 | dt: 2136.81ms | tok/sec: 245,360 | bf16_mfu: 59.74 | epoch: 1 pq: 8 rg: 11 | total time: 25.60m | eta: 33.8m
step 00731/01680 (43.51%) | loss: 3.159709 | lrm: 0.88 | dt: 2135.62ms | tok/sec: 245,497 | bf16_mfu: 59.78 | epoch: 1 pq: 8 rg: 12 | total time: 25.64m | eta: 33.7m
step 00732/01680 (43.57%) | loss: 3.157773 | lrm: 0.87 | dt: 2140.69ms | tok/sec: 244,915 | bf16_mfu: 59.63 | epoch: 1 pq: 8 rg: 13 | total time: 25.67m | eta: 33.7m
step 00733/01680 (43.63%) | loss: 3.153217 | lrm: 0.87 | dt: 2135.00ms | tok/sec: 245,568 | bf16_mfu: 59.79 | epoch: 1 pq: 8 rg: 14 | total time: 25.71m | eta: 33.7m
step 00734/01680 (43.69%) | loss: 3.153921 | lrm: 0.87 | dt: 2138.87ms | tok/sec: 245,124 | bf16_mfu: 59.69 | epoch: 1 pq: 8 rg: 15 | total time: 25.74m | eta: 33.6m
step 00735/01680 (43.75%) | loss: 3.148760 | lrm: 0.87 | dt: 2132.71ms | tok/sec: 245,831 | bf16_mfu: 59.86 | epoch: 1 pq: 8 rg: 15 | total time: 25.78m | eta: 33.6m
step 00736/01680 (43.81%) | loss: 3.149136 | lrm: 0.87 | dt: 2132.81ms | tok/sec: 245,820 | bf16_mfu: 59.86 | epoch: 1 pq: 8 rg: 16 | total time: 25.81m | eta: 33.6m
step 00737/01680 (43.87%) | loss: 3.148006 | lrm: 0.87 | dt: 2135.35ms | tok/sec: 245,527 | bf16_mfu: 59.78 | epoch: 1 pq: 8 rg: 17 | total time: 25.85m | eta: 33.5m
step 00738/01680 (43.93%) | loss: 3.149432 | lrm: 0.87 | dt: 2139.05ms | tok/sec: 245,103 | bf16_mfu: 59.68 | epoch: 1 pq: 8 rg: 18 | total time: 25.88m | eta: 33.5m
step 00739/01680 (43.99%) | loss: 3.156145 | lrm: 0.87 | dt: 2140.89ms | tok/sec: 244,892 | bf16_mfu: 59.63 | epoch: 1 pq: 8 rg: 19 | total time: 25.92m | eta: 33.5m
step 00740/01680 (44.05%) | loss: 3.153326 | lrm: 0.87 | dt: 2136.66ms | tok/sec: 245,377 | bf16_mfu: 59.75 | epoch: 1 pq: 8 rg: 20 | total time: 25.96m | eta: 33.4m
step 00741/01680 (44.11%) | loss: 3.146293 | lrm: 0.87 | dt: 2134.56ms | tok/sec: 245,619 | bf16_mfu: 59.81 | epoch: 1 pq: 8 rg: 21 | total time: 25.99m | eta: 33.4m
